,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
208,Bulgan,48.8125,103.5347,48.31,96,100,3.91,MN,2021-09-10 21:29:09
209,Ulaangom,49.9811,92.0667,49.06,59,26,4.81,MN,2021-09-10 21:29:09
210,Camopi,3.1655,-52.3158,84.02,55,72,5.32,GF,2021-09-10 21:29:09
211,Tokur,53.1333,132.9,44.92,97,100,4.14,RU,2021-09-10 21:29:09
212,Isangel,-19.55,169.2667,71.69,62,42,13.04,VU,2021-09-10 21:29:10
213,Mahébourg,-20.4081,57.7,70.09,88,40,6.91,MU,2021-09-10 21:29:10
214,Senador José Porfírio,-2.5908,-51.9542,87.22,55,66,2.35,BR,2021-09-10 21:29:10
215,Morondava,-20.2833,44.2833,77.02,54,0,17.11,MG,2021-09-10 21:29:11
216,Butaritari,3.0707,172.7902,83.7,73,29,14.74,KI,2021-09-10 21:29:11
217,Necochea,-38.5473,-58.7368,51.04,87,61,6.08,AR,2021-09-10 21:24:51
218,Khatanga,71.9667,102.5,50.25,68,33,10.29,RU,2021-09-10 21:29:11
219,Badarpur,24.9,92.6,76.23,97,97,2.37,IN,2021-09-10 21:29:12
220,Lüderitz,-26.6481,15.1594,56.77,74,3,7.45,NA,2021-09-10 21:29:12
221,Kenai,60.5544,-151.2583,59.02,79,90,5.75,US,2021-09-10 21:29:12
222,Kawalu,-7.3817,108.2082,70.32,97,82,0.81,ID,2021-09-10 21:29:12
223,Berlevåg,70.8578,29.0864,42.75,81,75,11.5,NO,2021-09-10 21:29:13
224,Bima,-8.4667,118.7167,75.07,94,78,4.07,ID,2021-09-10 21:29:13
225,Okato,-39.2,173.8833,52.43,80,39,18.63,NZ,2021-09-10 21:29:13
226,Biak,-0.9131,122.8766,74.97,87,96,4.65,ID,2021-09-10 21:29:14
227,Stepnogorsk,52.3544,71.8869,49.15,88,94,10.74,KZ,2021-09-10 21:29:14
228,Arnoldstein,46.5461,13.71,60.3,77,11,3.02,AT,2021-09-10 21:29:14
229,Chumikan,54.7183,135.315,52.66,84,100,12.5,RU,2021-09-10 21:29:14
230,North Bend,43.4065,-124.2243,70.95,59,20,12.66,US,2021-09-10 21:29:15
231,Alta Floresta,-9.8756,-56.0861,89.42,55,20,2.3,BR,2021-09-10 21:29:15
232,Fort Nelson,58.8053,-122.7002,65.79,48,75,12.66,CA,2021-09-10 21:29:16
233,Kānodar,24.1,72.3833,76.17,94,100,3.22,IN,2021-09-10 21:29:16
234,Ilulissat,69.2167,-51.1,30.22,51,0,6.91,GL,2021-09-10 21:29:16
235,Ostrovnoy,68.0531,39.5131,42.48,89,100,19.06,RU,2021-09-10 21:29:16
236,Rome,43.2128,-75.4557,69.94,59,90,1.01,US,2021-09-10 21:29:15
237,Yagodnoye,62.55,149.6667,31.84,89,95,5.61,RU,2021-09-10 21:29:17
238,Tabas,33.5959,56.9244,77.95,17,0,2.26,IR,2021-09-10 21:29:17
239,Vrangel',42.7297,133.0839,65.57,87,92,4.36,RU,2021-09-10 21:29:17
240,Los Llanos de Aridane,28.6585,-17.9182,71.35,83,0,2.3,ES,2021-09-10 21:29:18
241,Samarai,-10.6167,150.6667,78.78,87,100,17.52,PG,2021-09-10 21:29:18
242,Orchard Homes,46.8633,-114.0484,78.94,31,1,6.91,US,2021-09-10 21:28:34
243,Hamilton,39.1834,-84.5333,80.76,44,75,1.01,US,2021-09-10 21:29:18
244,Bhisho,-32.8472,27.4422,77.47,28,92,10.0,ZA,2021-09-10 21:29:19
245,Dharān,26.8125,87.2835,77.04,75,11,7.29,NP,2021-09-10 21:29:19
246,Cherskiy,68.75,161.3,32.32,70,25,11.12,RU,2021-09-10 21:29:19
247,Show Low,34.2542,-110.0298,87.51,23,1,14.97,US,2021-09-10 21:29:20
248,Chālūs,36.655,51.4204,71.06,83,75,0.0,IR,2021-09-10 21:29:20
249,Sangar,63.9242,127.4739,41.29,63,100,1.86,RU,2021-09-10 21:29:21
250,Asău,46.4333,26.4,56.75,44,98,3.56,RO,2021-09-10 21:29:21
251,Shimoda,34.6667,138.95,74.73,75,75,2.57,JP,2021-09-10 21:29:21
252,São João da Barra,-21.6403,-41.0511,75.29,83,7,20.47,BR,2021-09-10 21:29:22
253,Luorong,24.4058,109.6086,78.84,84,26,2.01,CN,2021-09-10 21:29:22
254,Tari,12.4086,4.4914,82.42,69,99,6.26,NG,2021-09-10 21:29:22
255,Nuuk,64.1835,-51.7216,45.21,57,54,6.91,GL,2021-09-10 21:29:23
256,Kudahuvadhoo,2.6708,72.8944,82.89,70,51,5.01,MV,2021-09-10 21:29:23
257,Progreso,21.2833,-89.6667,79.11,89,100,14.56,MX,2021-09-10 21:29:23
258,Ambon City,-3.6954,128.1814,75.34,100,40,3.44,ID,2021-09-10 21:29:23
259,Katiuzhanka,50.806,30.1376,53.82,54,82,0.49,UA,2021-09-10 21:29:24
260,Sambava,-14.2667,50.1667,69.46,84,44,13.09,MG,2021-09-10 21:29:24
261,Camacupa,-12.0167,17.4833,70.18,23,21,6.62,AO,2021-09-10 21:29:24
262,Dukat,62.55,155.55,25.74,84,100,6.71,RU,2021-09-10 21:29:25
263,Katy,29.7858,-95.8244,94.12,37,0,1.01,US,2021-09-10 21:15:28
264,Ust-Kuyga,70.0167,135.6,39.09,58,57,7.14,RU,2021-09-10 21:29:25
265,Luwuk,-0.9516,122.7875,76.08,87,97,3.67,ID,2021-09-10 21:29:25
266,Gualaquiza,-3.4,-78.55,71.65,86,92,1.39,EC,2021-09-10 21:29:26
267,Arkhangelsk,64.5401,40.5433,35.71,93,40,0.0,RU,2021-09-10 21:29:26
268,Dunedin,-45.8742,170.5036,46.8,67,41,14.0,NZ,2021-09-10 21:29:26
269,Salaga,8.5508,-0.5188,76.1,90,100,3.24,GH,2021-09-10 21:29:27
270,Vao,-22.6667,167.4833,66.99,63,100,13.85,NC,2021-09-10 21:29:27
271,Birjand,32.8663,59.2211,64.87,20,0,13.8,IR,2021-09-10 21:29:27
272,Grindavik,63.8424,-22.4338,49.95,100,75,9.22,IS,2021-09-10 21:29:28
273,Zabid,14.1951,43.3152,92.05,59,90,9.4,YE,2021-09-10 21:29:28
274,Homer,59.6425,-151.5483,59.07,90,40,4.61,US,2021-09-10 21:29:28
275,Yaan,7.3833,8.5667,73.09,97,99,4.7,NG,2021-09-10 21:29:28
276,Abbeville,50.1,1.8333,64.36,91,19,8.3,FR,2021-09-10 21:29:29
277,Pathānkot,32.2833,75.65,77.41,81,100,2.57,IN,2021-09-10 21:29:29
278,Varhaug,58.6147,5.6457,63.95,94,100,13.24,NO,2021-09-10 21:29:29
279,Illintsi,49.1048,29.2177,59.94,39,100,4.54,UA,2021-09-10 21:29:30
280,Hobyo,5.3505,48.5268,77.13,81,94,30.53,SO,2021-09-10 21:29:30
281,Channel-Port aux Basques,47.5702,-59.1367,63.77,99,100,16.73,CA,2021-09-10 21:26:35
282,Bathsheba,13.2167,-59.5167,85.05,80,19,14.34,BB,2021-09-10 21:29:30
283,Hualmay,-11.0964,-77.6139,65.16,77,29,8.32,PE,2021-09-10 21:29:31
284,Ponta Delgada,37.7333,-25.6667,68.72,77,20,6.91,PT,2021-09-10 21:29:31
285,Dutse,11.7594,9.3392,79.92,70,79,3.62,NG,2021-09-10 21:29:31
286,Xaçmaz,41.4635,48.806,63.99,71,0,2.8,AZ,2021-09-10 21:29:32
287,Ouésso,1.6136,16.0517,70.68,97,100,2.53,CG,2021-09-10 21:29:32
288,Nakhon Thai,17.1006,100.8374,74.17,97,99,1.07,TH,2021-09-10 21:29:32
289,Bandarbeyla,9.4942,50.8122,77.76,80,65,28.3,SO,2021-09-10 21:29:32
290,Acaraú,-2.8856,-40.12,79.23,78,13,15.73,BR,2021-09-10 21:29:33
291,Ahipara,-35.1667,173.1667,56.37,65,3,16.84,NZ,2021-09-10 21:29:33
292,Kahului,20.8947,-156.47,84.22,58,20,14.97,US,2021-09-10 21:29:33
293,Katsina,12.9894,7.6006,84.13,55,38,1.9,NG,2021-09-10 21:29:34
294,Sørland,67.667,12.6934,49.33,72,100,11.05,NO,2021-09-10 21:29:34
295,Honningsvåg,70.9821,25.9704,44.22,80,65,22.44,NO,2021-09-10 21:29:34
296,Viranşehir,37.2353,39.7631,76.3,45,0,10.8,TR,2021-09-10 21:29:34
297,Kavaratti,10.5669,72.642,81.99,75,100,16.04,IN,2021-09-10 21:29:35
